TRACK_ID,TRACK_NAME,TRACK_PLOT_TYPE,INT NO,TRACK_LAT,TRACK_LONG,TRACK_HEIGHT,TRACK_DIR,TRACK_IDENTITY,TRACK_TYPE,TRACK_SUB_TYPE,TRACK_CLASS,TRACK_STRENGTH,TRACK_ACT_TYPE,TRACK_ACT_SUB_TYPE,TRACK_ACT_CLASS,TRACK_SYSTEM_TYPE,TRACK_SOURCES,TRACK_IMAGE,TRACK_REMARKS
1,TRACK_ALPHA,1.0,101,28.6139,77.2090,1250.5,45,1,2,1,3,85,1,2,3,1,RADAR,track_alpha.png,Primary radar track
2,TRACK_BRAVO,2.0,102,28.6139,77.2090,1150.2,120,2,1,2,2,72,2,1,2,2,EO_SENSOR,track_bravo.png,Moving track detected
3,TRACK_CHARLIE,1.0,103,28.5355,77.3910,2100.8,270,3,3,1,1,91,1,3,1,1,RADAR,track_charlie.png,High altitude track
4,TRACK_DELTA,3.0,104,28.4595,77.0266,450.0,180,4,2,3,2,64,3,2,2,3,ADS_B,track_delta.png,Aircraft track
5,TRACK_ECHO,2.0,105,28.4089,77.3178,720.4,315,5,4,2,3,58,2,2,3,2,RADAR,track_echo.png,Weak radar return
6,TRACK_FOXTROT,1.0,106,28.6692,77.4538,1540.7,90,6,1,1,1,88,1,1,1,1,EO_SENSOR,track_foxtrot.png,Stable track
7,TRACK_GOLF,3.0,107,28.5350,77.3910,3200.3,225,7,3,2,2,95,3,1,2,3,RADAR,track_golf.png,High strength track
8,TRACK_HOTEL,2.0,108,28.6328,77.2197,650.6,30,8,2,3,1,76,2,3,1,2,RF_SENSOR,track_hotel.png,RF detected object
9,TRACK_INDIA,1.0,109,28.4810,77.0960,1120.9,150,9,4,1,3,69,1,2,3,1,RADAR,track_india.png,Possible aircraft
10,TRACK_JULIET,3.0,110,28.5700,77.3270,2750.1,300,10,3,3,2,93,3,3,2,3,ADS_B,track_juliet.png,Confirmed air track
11,TRACK_KILO,2.0,111,28.7250,77.1800,890.5,60,11,1,2,1,81,2,1,1,2,RADAR,track_kilo.png,Continuous detection
12,TRACK_LIMA,1.0,112,28.5500,77.2500,1340.2,240,12,2,1,2,74,1,3,2,1,EO_SENSOR,track_lima.png,Normal activity
13,TRACK_MIKE,3.0,113,28.6100,77.3400,1980.7,10,13,4,3,3,67,3,2,3,3,RF_SENSOR,track_mike.png,Intermittent signal
14,TRACK_NOVEMBER,2.0,114,28.4900,77.2900,560.8,195,14,2,2,1,79,2,2,1,2,RADAR,track_november.png,Low altitude object
15,TRACK_OSCAR,1.0,115,28.6750,77.4100,2450.9,330,15,3,1,3,97,1,1,3,1,ADS_B,track_oscar.png,Strong confirmed track
16,TRACK_PAPA,3.0,116,28.5200,77.1500,1020.4,75,16,1,3,2,62,3,3,2,3,EO_SENSOR,track_papa.png,Track under observation
17,TRACK_QUEBEC,2.0,117,28.5900,77.2800,1760.6,165,17,4,2,1,83,2,1,1,2,RADAR,track_quebec.png,Consistent radar track
18,TRACK_ROMEO,1.0,118,28.6400,77.3600,2890.2,285,18,3,2,3,90,1,2,3,1,RF_SENSOR,track_romeo.png,High altitude movement
19,TRACK_SIERRA,3.0,119,28.4550,77.2400,430.7,135,19,2,3,2,55,3,1,2,3,RADAR,track_sierra.png,Low strength detection
20,TRACK_TANGO,2.0,120,28.7000,77.3000,3100.5,350,20,4,1,1,94,2,3,1,2,ADS_B,track_tango.png,Confirmed high altitude track
